County,1 Adult: 19-50 Years,1 Adult 1 Child,2 Adults: 19-50 Years,2 Adults 2 Children,1 Adult 65+,2 Adults 65+,Total Monthly Cost,
Accomack County,125,179,179,286,125,179,1072,
Albemarle County,125,179,179,286,125,179,1072,
Alexandria City,125,179,179,286,125,179,1072,
Alleghany County,125,179,179,286,125,179,1072,
Amelia County,125,179,179,286,125,179,1072,
Amherst County,125,179,179,286,125,179,1072,
Appomattox County,125,179,179,286,125,179,1072,
Arlington County,125,179,179,286,125,179,1072,
Augusta County,125,179,179,286,125,179,1072,
Bath County,125,179,179,286,125,179,1072,
Bedford County,125,179,179,286,125,179,1072,
Bland County,125,179,179,286,125,179,1072,
Botetourt County,125,179,179,286,125,179,1072,
Bristol City,125,179,179,286,125,179,1072,
Brunswick County,125,179,179,286,125,179,1072,
Buchanan County,125,179,179,286,125,179,1072,
Buckingham County,125,179,179,286,125,179,1072,
Buena Vista City,125,179,179,286,125,179,1072,
Campbell County,125,179,179,286,125,179,1072,
Caroline County,125,179,179,286,125,179,1072,
Carroll County,125,179,179,286,125,179,1072,
Charles City,125,179,179,286,125,179,1072,
Charlotte County,125,179,179,286,125,179,1072,
Charlottesville City,125,179,179,286,125,179,1072,
Chesapeake City,125,179,179,286,125,179,1072,
Chesterfield County,125,179,179,286,125,179,1072,
Clarke County,125,179,179,286,125,179,1072,
Colonial Heights City,125,179,179,286,125,179,1072,
Covington City,125,179,179,286,125,179,1072,
Craig County,125,179,179,286,125,179,1072,
Culpeper County,125,179,179,286,125,179,1072,
Cumberland County,125,179,179,286,125,179,1072,
Danville City,125,179,179,286,125,179,1072,
Dickenson County,125,179,179,286,125,179,1072,
Dinwiddie County,125,179,179,286,125,179,1072,
Emporia City,125,179,179,286,125,179,1072,
Essex County,125,179,179,286,125,179,1072,
Fairfax City,125,179,179,286,125,179,1072,
Fairfax County,125,179,179,286,125,179,1072,
Falls Church City,125,179,179,286,125,179,1072,
Fauquier County,125,179,179,286,125,179,1072,
Floyd County,125,179,179,286,125,179,1072,
Fluvanna County,125,179,179,286,125,179,1072,
Franklin City,125,179,179,286,125,179,1072,
Franklin County,125,179,179,286,125,179,1072,
Frederick County,125,179,179,286,125,179,1072,
Fredericksburg City,125,179,179,286,125,179,1072,
Galax City,125,179,179,286,125,179,1072,
Giles County,125,179,179,286,125,179,1072,
Gloucester County,125,179,179,286,125,179,1072,
Goochland County,125,179,179,286,125,179,1072,
Grayson County,125,179,179,286,125,179,1072,
Greene County,125,179,179,286,125,179,1072,
Greensville County,125,179,179,286,125,179,1072,
Halifax County,125,179,179,286,125,179,1072,
Hampton City,125,179,179,286,125,179,1072,
Hanover County,125,179,179,286,125,179,1072,
Harrisonburg City,125,179,179,286,125,179,1072,
Henrico County,125,179,179,286,125,179,1072,
Henry County,125,179,179,286,125,179,1072,
Highland County,125,179,179,286,125,179,1072,
Hopewell City,125,179,179,286,125,179,1072,
Isle of Wight County,125,179,179,286,125,179,1072,
James City County,125,179,179,286,125,179,1072,
King George County,125,179,179,286,125,179,1072,
King William County,125,179,179,286,125,179,1072,
King and Queen County,125,179,179,286,125,179,1072,
Lancaster County,125,179,179,286,125,179,1072,
Lee County,125,179,179,286,125,179,1072,
Lexington City,125,179,179,286,125,179,1072,
Loudoun County,125,179,179,286,125,179,1072,
Louisa County,125,179,179,286,125,179,1072,
Lunenburg County,125,179,179,286,125,179,1072,
Lynchburg City,125,179,179,286,125,179,1072,
Madison County,125,179,179,286,125,179,1072,
Manassas City,125,179,179,286,125,179,1072,
Manassas Park City,125,179,179,286,125,179,1072,
Martinsville City,125,179,179,286,125,179,1072,
Mathews County,125,179,179,286,125,179,1072,
Mecklenburg County,125,179,179,286,125,179,1072,
Middlesex County,125,179,179,286,125,179,1072,
Montgomery County,125,179,179,286,125,179,1072,
Nelson County,125,179,179,286,125,179,1072,
New Kent County,125,179,179,286,125,179,1072,
Newport News City,125,179,179,286,125,179,1072,
Norfolk City,125,179,179,286,125,179,1072,
Northampton County,125,179,179,286,125,179,1072,
Northumberland County,125,179,179,286,125,179,1072,
Norton City,125,179,179,286,125,179,1072,
Nottoway County,125,179,179,286,125,179,1072,
Orange County,125,179,179,286,125,179,1072,
Page County,125,179,179,286,125,179,1072,
Patrick County,125,179,179,286,125,179,1072,
Petersburg City,125,179,179,286,125,179,1072,
Pittsylvania County,125,179,179,286,125,179,1072,
Poquoson City,125,179,179,286,125,179,1072,
Portsmouth City,125,179,179,286,125,179,1072,
Powhatan County,125,179,179,286,125,179,1072,
Prince Edward County,125,179,179,286,125,179,1072,
Prince George County,125,179,179,286,125,179,1072,
Prince William County,125,179,179,286,125,179,1072,
Pulaski County,125,179,179,286,125,179,1072,
Radford City,125,179,179,286,125,179,1072,
Rappahannock County,125,179,179,286,125,179,1072,
Richmond City,125,179,179,286,125,179,1072,
Richmond County,125,179,179,286,125,179,1072,
Roanoke City,125,179,179,286,125,179,1072,
Roanoke County,125,179,179,286,125,179,1072,
Rockbridge County,125,179,179,286,125,179,1072,
Rockingham County,125,179,179,286,125,179,1072,
Russell County,125,179,179,286,125,179,1072,
Salem City,125,179,179,286,125,179,1072,
Scott County,125,179,179,286,125,179,1072,
Shenandoah County,125,179,179,286,125,179,1072,
Smyth County,125,179,179,286,125,179,1072,
Southampton County,125,179,179,286,125,179,1072,
Spotsylvania County,125,179,179,286,125,179,1072,
Stafford County,125,179,179,286,125,179,1072,
Staunton City,125,179,179,286,125,179,1072,
Suffolk City,125,179,179,286,125,179,1072,
Surry County,125,179,179,286,125,179,1072,
Sussex County,125,179,179,286,125,179,1072,
Tazewell County,125,179,179,286,125,179,1072,
Virginia Beach City,125,179,179,286,125,179,1072,
Warren County,125,179,179,286,125,179,1072,
Washington County,125,179,179,286,125,179,1072,
Waynesboro City,125,179,179,286,125,179,1072,
Westmoreland County,125,179,179,286,125,179,1072,
Williamsburg City,125,179,179,286,125,179,1072,
Winchester City,125,179,179,286,125,179,1072,
Wise County,125,179,179,286,125,179,1072,
Wythe County,125,179,179,286,125,179,1072,
York County,125,179,179,286,125,179,1072,
,,,,,,,,
