County,1 Adult: 19-50 Years,2 Adults: 19-50 Years,"1 Adult, 1 Child","2 Adults, 2 Children",1 Adult: 65+,2 Adults: 65+,
Accomack,524,943,786,1362,576,995,
Albemarle,935,1682,1402,2430,1028,1776,
Alexandria,1035,1863,1553,2691,1139,1967,
Alleghany,502,904,754,1306,553,955,
Amelia,604,1088,906,1571,665,1148,
Amherst,613,1103,919,1594,674,1165,
Appomattox,568,1022,852,1476,625,1079,
Arlington,1277,2298,1915,3319,1404,2426,
Augusta,728,1311,1093,1894,801,1384,
Bath,562,1012,843,1461,618,1068,
Bedford,707,1273,1061,1839,778,1344,
Bland,559,1006,839,1453,615,1062,
Botetourt,733,1319,1099,1906,806,1393,
Bristol,407,733,611,1059,448,774,
Brunswick,483,869,724,1255,531,917,
Buchanan,385,692,577,1000,423,731,
Buckingham,539,971,809,1402,593,1025,
Buena Vista,496,893,744,1290,546,942,
Campbell,570,1026,855,1483,627,1084,
Caroline,786,1414,1179,2043,864,1493,
Carroll,479,862,718,1245,527,910,
Charles City,445,802,668,1158,490,846,
Charlotte,636,1145,954,1654,700,1208,
Charlottesville,858,1544,1287,2231,944,1630,
Chesapeake,901,1622,1351,2342,991,1712,
Chesterfield,1040,1872,1560,2704,1144,1976,
Clarke,695,1250,1042,1806,764,1320,
Colonial Heights,389,700,584,1012,428,739,
Covington,617,1111,926,1605,679,1173,
Craig,875,1576,1313,2276,963,1663,
Culpeper,520,935,780,1351,572,987,
Cumberland,390,701,584,1013,429,740,
Danville,399,719,599,1038,439,759,
Dickenson,764,1376,1146,1987,841,1452,
Dinwiddie,450,810,675,1169,495,854,
Emporia,514,926,772,1338,566,977,
Essex,1209,2177,1814,3144,1330,2298,
Fairfax,1209,2177,1814,3144,1330,2298,
Fairfax,1367,2461,2051,3555,1504,2598,
Falls Church,1367,2461,2051,3555,1504,2598,
Fauquier,1409,2537,2114,3664,1550,2678,
Floyd,1180,2123,1769,3067,1297,2241,
Fluvanna,559,1007,839,1454,615,1063,
Franklin,838,1508,1256,2178,921,1591,
Franklin,593,1068,890,1542,653,1127,
Frederick,593,1068,890,1542,653,1127,
Fredericksburg,623,1121,934,1619,685,1183,
Galax,623,1121,934,1619,685,1183,
Giles,871,1567,1306,2264,958,1655,
Gloucester,778,1400,1166,2022,855,1477,
Goochland,377,679,566,981,415,717,
Grayson,590,1063,886,1535,649,1122,
Greene,762,1372,1143,1982,839,1448,
Greensville,1081,1946,1622,2811,1189,2054,
Halifax,390,703,586,1015,429,742,
Hampton,777,1398,1165,2019,854,1476,
Hanover,517,931,775,1344,569,982,
Harrisonburg,449,807,673,1166,493,852,
Henrico,617,1111,926,1605,679,1173,
Henry,997,1795,1496,2593,1097,1895,
Highland,544,980,816,1415,599,1034,
Hopewell,787,1417,1180,2046,866,1495,
Isle Of Wight,441,794,662,1147,485,838,
James City,573,1032,860,1491,631,1089,
King George,443,798,665,1153,488,842,
King William,875,1576,1313,2276,963,1663,
King and Queen,664,1194,995,1725,730,1261,
Lancaster,1007,1812,1510,2617,1107,1913,
Lee,776,1397,1164,2018,854,1475,
Lexington,612,1101,918,1591,673,1162,
Loudoun,385,693,578,1001,424,732,
Louisa,816,1469,1224,2122,898,1551,
Lunenburg,1628,2930,2442,4232,1791,3093,
Lynchburg,732,1317,1098,1903,805,1390,
Madison,496,893,744,1290,546,943,
Manassas,545,981,817,1416,599,1035,
Manassas Park,756,1360,1134,1965,831,1436,
Martinsville,1074,1933,1611,2793,1181,2041,
Mathews,917,1650,1375,2384,1009,1742,
Mecklenburg,387,696,580,1005,425,734,
Middlesex,688,1238,1031,1788,756,1306,
Montgomery,471,847,706,1224,518,895,
Nelson,675,1216,1013,1756,743,1283,
New Kent,645,1160,967,1676,709,1225,
Newport News,624,1123,936,1623,687,1186,
Norfolk,1094,1969,1641,2845,1204,2079,
Northampton,608,1094,912,1580,668,1155,
Northumberland,583,1050,875,1516,641,1108,
Norton,509,917,764,1325,560,968,
Nottoway,633,1139,950,1646,696,1203,
Orange,351,631,526,912,386,666,
Page,566,1019,849,1472,623,1076,
Patrick,858,1544,1287,2230,944,1630,
Petersburg,541,974,812,1407,595,1028,
Pittsylvania,464,835,696,1206,510,882,
Poquoson,462,832,693,1202,508,878,
Portsmouth,493,887,739,1282,542,937,
Powhatan,1101,1983,1652,2864,1212,2093,
Prince Edward,537,967,806,1397,591,1021,
Prince George,1008,1814,1512,2621,1109,1915,
Prince William,502,903,753,1304,552,953,
Pulaski,804,1446,1205,2089,884,1527,
Radford,1174,2113,1761,3052,1291,2230,
Rappahannock,554,996,830,1439,609,1052,
Richmond,481,866,721,1250,529,914,
Richmond,894,1609,1341,2324,983,1698,
Roanoke,571,1028,856,1484,628,1085,
Roanoke,571,1028,856,1484,628,1085,
Rockbridge,585,1052,877,1520,643,1111,
Rockingham,585,1052,877,1520,643,1111,
Russell,480,864,720,1247,528,912,
Salem,480,864,720,1247,528,912,
Scott,755,1360,1133,1964,831,1435,
Shenandoah,755,1360,1133,1964,831,1435,
Smyth,583,1049,874,1515,641,1107,
Southampton,715,1287,1072,1858,786,1358,
Spotsylvania,447,804,670,1161,491,848,
Stafford,608,1094,912,1580,668,1155,
Staunton,411,740,617,1069,452,781,
Suffolk,587,1056,880,1526,646,1115,
Surry,427,768,640,1110,470,811,
Sussex,624,1123,935,1621,686,1185,
Tazewell,998,1797,1497,2595,1098,1896,
Virginia Beach,1219,2194,1828,3168,1341,2315,
Warren,570,1026,855,1482,627,1083,
Washington,821,1477,1231,2134,903,1559,
Waynesboro,651,1172,976,1692,716,1237,
Westmoreland,572,1030,858,1488,629,1087,
Williamsburg,417,751,626,1084,459,792,
Winchester,826,1487,1239,2148,909,1569,
Wise,768,1383,1152,1997,845,1459,
Wythe,572,1029,858,1487,629,1086,
York,513,924,770,1335,565,975,
,,,,,,,
