County,Median_Household_Income
Virginia,90974
Accomack County,57500
Albemarle County,102617
Alleghany County,55160
Amelia County,66339
Amherst County,67298
Appomattox County,62337
Arlington County,140160
Augusta County,79972
Bath County,61709
Bedford County,77644
Bland County,61375
Botetourt County,80467
Brunswick County,52978
Buchanan County,42216
Buckingham County,59199
Campbell County,62608
Caroline County,86267
Carroll County,52575
Charles City County,70339
Charlotte County,48892
Chesterfield County,98910
Clarke County,114185
Craig County,67778
Culpeper County,96098
Cumberland County,57057
Dickenson County,43831
Dinwiddie County,83898
Essex County,56481
Fairfax County,150113
Fauquier County,129495
Floyd County,61401
Fluvanna County,91959
Franklin County,68348
Frederick County,95603
Giles County,64819
Gloucester County,83689
Goochland County,118695
Grayson County,42864
Greene County,85268
Greensville County,56759
Halifax County,49244
Hanover County,109504
Henrico County,86397
Henry County,48445
Highland County,62946
Isle of Wight County,96118
James City County,107046
King and Queen County,72851
King George County,110517
King William County,85212
Lancaster County,67169
Lee County,42269
Loudoun County,178707
Louisa County,80343
Lunenburg County,54460
Madison County,82972
Mathews County,75487
Mecklenburg County,51691
Middlesex County,74154
Montgomery County,70769
Nelson County,68525
New Kent County,120125
Northampton County,55933
Northumberland County,69500
Nottoway County,62161
Orange County,94175
Page County,59396
Patrick County,50938
Pittsylvania County,54115
Powhatan County,110667
Prince Edward County,55082
Prince George County,88225
Prince William County,128873
Pulaski County,60767
Rappahannock County,98125
Richmond County,64184
Roanoke County,82931
Rockbridge County,63975
Rockingham County,78468
Russell County,49020
Scott County,45136
Shenandoah County,64437
Smyth County,46859
Southampton County,68465
Spotsylvania County,109576
Stafford County,133792
Surry County,71458
Sussex County,62821
Tazewell County,45788
Warren County,84331
Washington County,62774
Westmoreland County,59766
Wise County,50740
Wythe County,55359
York County,108326
Alexandria city,113638
Bristol city,44706
Buena Vista city,54458
Charlottesville city,69829
Chesapeake city,94189
Colonial Heights city,76250
Covington city,42724
Danville city,42778
Emporia city,49375
Fairfax city,132774
Falls Church city,154734
Franklin city,65125
Fredericksburg city,85368
Galax city,41438
Hampton city,67758
Harrisonburg city,59752
Hopewell city,48681
Lexington city,89598
Lynchburg city,59808
Manassas city,117919
Manassas Park city,100668
Martinsville city,42434
Newport News city,66718
Norfolk city,64017
Norton city,38497
Petersburg city,50741
Poquoson city,120919
Portsmouth city,58972
Radford city,52791
Richmond city,62671
Roanoke city,52671
Salem city,66716
Staunton city,62586
Suffolk city,90089
Virginia Beach city,90685
Waynesboro city,56364
Williamsburg city,70206
Winchester city,64648
