County,Minimum Monthly Cost,Average Monthly Cost
"Accomack County, Virginia",564.75,2823.75
"Albemarle County, Virginia",521.27,2606.33
"Alleghany County, Virginia",581.83,2909.17
"Amelia County, Virginia",484.3,2421.5
"Amherst County, Virginia",550.04,2750.22
"Appomattox County, Virginia",590.36,2951.8
"Arlington County, Virginia",363.08,1815.38
"Augusta County, Virginia",609.26,3046.29
"Bath County, Virginia",653.66,3268.31
"Bedford County, Virginia",582.16,2910.78
"Bland County, Virginia",576.14,2880.69
"Botetourt County, Virginia",573.26,2866.28
"Brunswick County, Virginia",534.8,2674.02
"Buchanan County, Virginia",592.89,2964.45
"Buckingham County, Virginia",504.3,2521.52
"Campbell County, Virginia",603.74,3018.7
"Caroline County, Virginia",511.75,2558.75
"Carroll County, Virginia",592.15,2960.77
"Charles City County, Virginia",516.34,2581.72
"Charlotte County, Virginia",657.74,3288.68
"Chesterfield County, Virginia",547.5,2737.52
"Clarke County, Virginia",534.97,2674.85
"Craig County, Virginia",581.61,2908.03
"Culpeper County, Virginia",552.66,2763.29
"Cumberland County, Virginia",530.96,2654.81
"Dickenson County, Virginia",557.14,2785.68
"Dinwiddie County, Virginia",556.89,2784.47
"Essex County, Virginia",552.32,2761.6
"Fairfax County, Virginia",447.99,2239.93
"Fauquier County, Virginia",539.86,2699.3
"Floyd County, Virginia",545.08,2725.39
"Fluvanna County, Virginia",515.46,2577.32
"Franklin County, Virginia",536.08,2680.38
"Frederick County, Virginia",554.48,2772.4
"Giles County, Virginia",626.62,3133.08
"Gloucester County, Virginia",588.61,2943.06
"Goochland County, Virginia",552.03,2760.13
"Grayson County, Virginia",555.14,2775.72
"Greene County, Virginia",542.7,2713.5
"Greensville County, Virginia",575.84,2879.22
"Halifax County, Virginia",570.86,2854.31
"Hanover County, Virginia",556.74,2783.7
"Henrico County, Virginia",554.23,2771.17
"Henry County, Virginia",627.17,3135.86
"Highland County, Virginia",447.17,2235.85
"Isle of Wight County, Virginia",595.79,2978.95
"James City County, Virginia",586.18,2930.9
"King and Queen County, Virginia",525.14,2625.68
"King George County, Virginia",547.78,2738.88
"King William County, Virginia",491.14,2455.7
"Lancaster County, Virginia",599.11,2995.55
"Lee County, Virginia",648.45,3242.25
"Loudoun County, Virginia",460.45,2302.26
"Louisa County, Virginia",542.77,2713.87
"Lunenburg County, Virginia",558.09,2790.43
"Madison County, Virginia",518.28,2591.42
"Mathews County, Virginia",551.66,2758.29
"Mecklenburg County, Virginia",611.61,3058.07
"Middlesex County, Virginia",504.82,2524.1
"Montgomery County, Virginia",559.2,2795.98
"Nelson County, Virginia",461.42,2307.08
"New Kent County, Virginia",494.28,2471.38
"Northampton County, Virginia",531.75,2658.74
"Northumberland County, Virginia",456.08,2280.39
"Nottoway County, Virginia",624.8,3123.98
"Orange County, Virginia",530.27,2651.35
"Page County, Virginia",525.88,2629.42
"Patrick County, Virginia",529.34,2646.72
"Pittsylvania County, Virginia",629.22,3146.1
"Powhatan County, Virginia",498.15,2490.76
"Prince Edward County, Virginia",550.46,2752.32
"Prince George County, Virginia",485.96,2429.8
"Prince William County, Virginia",499.58,2497.9
"Pulaski County, Virginia",662.4,3312
"Rappahannock County, Virginia",480.32,2401.6
"Richmond County, Virginia",458.59,2292.94
"Roanoke County, Virginia",581.41,2907.04
"Rockbridge County, Virginia",556.34,2781.68
"Rockingham County, Virginia",554.16,2770.8
"Russell County, Virginia",603.4,3017
"Scott County, Virginia",621.46,3107.32
"Shenandoah County, Virginia",553.85,2769.26
"Smyth County, Virginia",649.59,3247.95
"Southampton County, Virginia",578.55,2892.73
"Spotsylvania County, Virginia",533.48,2667.4
"Stafford County, Virginia",475.33,2376.66
"Surry County, Virginia",548.36,2741.82
"Sussex County, Virginia",609.42,3047.11
"Tazewell County, Virginia",613.07,3065.35
"Warren County, Virginia",544.24,2721.18
"Washington County, Virginia",636.44,3182.22
"Westmoreland County, Virginia",548.15,2740.74
"Wise County, Virginia",614.37,3071.85
"Wythe County, Virginia",646.68,3233.38
"York County, Virginia",556.22,2781.1
"Alexandria city, Virginia",446.32,2231.6
"Bristol city, Virginia",653.16,3265.8
"Buena Vista city, Virginia",610.78,3053.88
"Charlottesville city, Virginia",462.96,2314.8
"Chesapeake city, Virginia",592.2,2960.99
"Colonial Heights city, Virginia",649.04,3245.18
"Covington city, Virginia",597.43,2987.15
"Danville city, Virginia",664.1,3320.48
"Emporia city, Virginia",677.56,3387.78
"Fairfax city, Virginia",431.12,2155.61
"Falls Church city, Virginia",433.38,2166.89
"Franklin city, Virginia",741.46,3707.32
"Fredericksburg city, Virginia",610.49,3052.45
"Galax city, Virginia",686.18,3430.88
"Hampton city, Virginia",647.68,3238.42
"Harrisonburg city, Virginia",546.41,2732.07
"Hopewell city, Virginia",621.74,3108.71
"Lexington city, Virginia",469.87,2349.35
"Lynchburg city, Virginia",605.53,3027.64
"Manassas city, Virginia",508.22,2541.12
"Manassas Park city, Virginia",504.47,2522.35
"Martinsville city, Virginia",682.63,3413.13
"Newport News city, Virginia",650.31,3251.57
"Norfolk city, Virginia",641.95,3209.74
"Norton city, Virginia",638.47,3192.34
"Petersburg city, Virginia",680.39,3401.94
"Poquoson city, Virginia",603.27,3016.36
"Portsmouth city, Virginia",610.54,3052.71
"Radford city, Virginia",658.34,3291.71
"Richmond city, Virginia",586.64,2933.19
"Roanoke city, Virginia",667.3,3336.52
"Salem city, Virginia",621.18,3105.92
"Staunton city, Virginia",653.49,3267.45
"Suffolk city, Virginia",630.12,3150.62
"Virginia Beach city, Virginia",593.61,2968.06
"Waynesboro city, Virginia",641.61,3208.07
"Williamsburg city, Virginia",477.41,2387.07
"Winchester city, Virginia",647.24,3236.18
